Q4687007	ÉACÉES [sé], fêtes que l'on célébrait dans l'île d'Egine, en l'honneur d'Eaque, fils de Jupiter.
Q3131046	EDGEWORTH DE FIRMONT (Henri-Essex), dernier confesseur de Louis XVI, qu'il accompagna jusqu'au pied de l'échafaud et auquel il aurait adressé, suivant une légende, ces paroles devenues célèbres : « Fils de saint Louis, montez au ciel ». Il fut plus tard le chapelain de Louis XVIII (1745-1807).
Q237575	EDGEWORTH (Maria), romancière moraliste anglaise (1767-1849). Dans ses contes pour la jeunesse, elle instruit, non par d'ennuyeux sermons, mais par d'aimables récits empruntés à la vie réelle.
Q2749858	EDHEM-PACHA, homme d'État ottoman, né dans l'île de Chio, en 1823, fut en 1898 généralissime de l'armée ottomane pendant la guerre gréco-turque.
Q205757	Édiles, magistrats romains chargés de l'inspection des édifices, de la surveillance des jeux publics, de la direction des fêtes, du soin des approvisionnements, et en général de la police de Rome.
Q23436	ÉDIMBOURG, capit. de l'Ecosse, sur le Leith, à 3 kil. du golfe du Forth, 316.500 h. (Edimbourgeois). Etoffes, verreries, fonderies. Magnifique château. Son Université, son activité intellectuelle, les grands hommes auxquels elle a donné naissance, ses monuments l'ont fait surnommer la Nouvelle Athènes. Patrie de Hume, Robertson, Dugald Stewart, Walter Scott, Macaulay, etc. Une avenue la réunit à Leith.
Q8743	EDISON (Thomas Alva), physicien américain, né en 1847, inventeur de nombreux appareils électriques, notamment du phonographe et de la lampe à incandescence qui porte son nom.
Q2575060	ÉDITH, nom de la femme de Loth, qui fut changée en statue de sel (Bible).
Q629117	ÉDITHE (sainte), princesse anglaise, fille naturelle d'Edgar, roi d'Angleterre (961-984). Fête le 11 novembre
Q1235967	EDME ou EDMOND [mon] (saint), archevêque de Cantorbéry (1190-1240). Fête le 16 novembre.
Q190166	EDMOND Ier, roi des Anglo-Saxons de 940 à 946 ; — Edmond II, Côte de Fer, roi des Anglo-Saxons de 1015 à 1016.
Q305002	EDMOND DE LANGLEY [glè], duc d'York et fils d'Edouard III, m. en 1402. Il est la tige de la maison de la Rose blanche.
Q7789248	EDMONDES (sir Thomas), diplomate anglais. Il négocia une alliance entre Henri IV et Elisabeth (1563-1639).
Q7343962	EDMONSTONE (Robert), peintre anglais, d'un coloris très distingué (1794-1834).
Q208475	EDOM. V. Idumée.
Q987699	ÉDONIENS [ni-in], peuple de Thrace, sur les bords du Strymon.
Q1979	ÉDOUARD (île du Prince-). V. Prince.
Q187114	ÉDOUARD Ier [dou-ar], l'Ancien, roi des Anglo-Saxons de 901 à 924 ; — Edouard II, le Martyr, roi des Anglo-Saxons de 975 à 978 ; — Edouard III, le Confesseur, roi des Anglo-Saxons de 1042 à 1066.
Q57798	ÉDOUARD Ier, roi d'Angleterre de 1272 à 1307. Il soumit les Gallois, lutta énergiquement contre les Ecossais, et, par son respect des libertés parlementaires, mérita d'être appelé le Justinien britannique ; — Edouard II, roi d'Angleterre de 1307 à 1327, fils du précédent et mari d'Isabelle, fille du roi de France Philippe le Bel ; après de longues luttes contre la grande aristocratie britannique, il mourut déposé et assassiné ; — Edouard III, roi d'Angleterre de 1327 à 1377, fils du précèdent. Il conquit l'Ecosse, entreprit contre la France la guerre de Cent ans, il fut vainqueur à l'Ecluse et à Crécy, prit Calais, et imposa à Jean le Bon la paix de Brétigny. Il institua l'ordre de la Jarretière ; — Edouard IV, roi d'Angleterre de 1461 à 1483, fils du duc d'York Richard et chef du parti de la Rose blanche contre la maison de Lancastre ; — Edouard V, fils du précédent, roi d'Angleterre en 1483. Il ne régna que quelques mois, son oncle Richard de Glocester l'ayant fait assassiner dans la Tour de Londres, en même temps que son frère Richard d'York ; — Edouard VI, roi d'Angleterre de 1547 à 1653 ; il favorisa la propagation de la Réforme ; — Edouard VII, roi d'Angleterre, fils de la reine Victoria, né en 1841, monté sur le trône en 1901. Sous son règne eut lieu la fin de la guerre du Transvaal.
Q107261917	Édouard (les Enfants d'), drame historique en trois actes de Casimir Delavigne, inspiré du Richard III de Shakspeare. Œuvre touchante et d'un réel sentiment dramatique.
Q17190332	Édouard (les Enfants d'), tableau de P. Delaroche (1831), musée du Louvre ; les deux enfants, assis au bord de leur lit, vont tomber sous la main des meurtriers. Scène très dramatique dans sa simplicité ; exécution forte et sévère.
Q184854	ÉDOUARD, fils d'Edouard III, prince de Galles, connu sous le nom de Prince Noir, qu'il dut à la couleur de son armure. Il gagna la bataille de Poitiers, où il fit Jean le Bon prisonnier (1330-1376).
Q313262	ÉDOUARD DE LANCASTRE, prince de Galles, fils de Henri VI et de Marguerite d'Anjou ; il essaya de détrôner Edouard IV et périt assassiné par les partisans de ce dernier (1453-1471).
Q739378	ÉDOUARD le Libéral, comte de Savoie de 1323 à 1329, fidèle allié de la France.
Q294607	ÉDOUARD, fils de Jean Ier, roi de Portugal de 1433 à 1438.
Q191767	ÉDRED, fils d'Edouard l'Ancien, roi des Anglo-Saxons de 946 à 955.
Q173441	ÉDRISI (El-), géographe arabe, né à Ceuta vers 1099, m. vers 1164. Il descendait de Mahomet. Son principal ouvrage est un résumé précieux des connaissances géographiques des musulmans du xiie siècle.
Q431575	ÉDRISITES, dynastie musulmane fondée par Edris dans le Maghreb (788-985).
Q107261952	Éducation (L'), ouvrage de Dupanloup, écrit avec finesse et une élévation de pensée remarquable (1851).
Q19235375	Éducation des filles (Traité de l'), par Fénelon (1687). C'est un traité pédagogique plein d'observations aussi fines que profondes, exprimées dans une langue merveilleusement nuancée et précise.
Q19152078	Éducation du genre humain (De l'), par Lessing (1780). La théorie de l'auteur repose sur l'idée que la révélation est pour l'humanité ce que l'éducation est pour l'individu.
Q1212285	Éducation sentimentale (l'), par Gustave Flaubert (1869), peinture profonde et juste de la société parisienne de 1840 à 1850.
Q107261977	Éducation maternelle (l'), groupe en marbre de Delaplanche, remarquable par la simplicité et le naturel des personnages, une mère qui fait épeler son enfant (1875).
Q677863	ÉDUENS [du-in], peuple de la Gaule, dont Bibracte (Autun) était la ville principale. C'est à la demande des Eduens que César entra en Gaule ; mais ils furent plus tard les alliés de Vercingétorix.
Q257668	EDWARDS [èd-ouards'] (George), naturaliste anglais (1693-1773).
Q191203	EDWY ou EADWIG le Beau, roi des Anglo-Saxons de 955 à 957.
Q1797837	EECKEREN [é-ke-rèn], v. de Belgique, prov. d'Anvers, non loin de l'Escaut ; 5.800 h.
Q12440	EECLOO [é-klô], v. de Belgique (Flandre-Orientale) ; 13.000 h. Etoffes de laine.
Q1069769	ÈÉTION [è-é-si-on], roi de Thèbes en Cilicie, père d'Andromaque, tué par Achille avec ses sept fils (Myth.)
Q2853835	EFFIAT [fi-a] (Antoine, marquis d'), maréchal de France et surintendant des finances. C'est lui qui conclut le mariage de Henriette-Marie de France avec le prince de Galles (Charles Ier). Il fut le père de Cinq-Mars (1581-1632).
Q42189258	Effrontés (les), comédie en cinq actes d'Emile Augier, une de ses meilleures pièces (1861).
Q109576	ÉGATES ou ÉGADES (îles), groupe à l'extrémité occidentale de la Sicile. Victoire du consul Lutatius sur les Carthaginois (241 av. J.-C.).
Q154934	EGBERT le Grand [bèr], roi des Anglo-Saxons. Il réunit sous sa domination, vers 827, l'heptarchie anglo-saxonne.
Q281763	EGÈDE (Jean), missionnaire danois, qui évangélisa les côtes du Groenland (1686-1758).
Q191725	ÉGÉE, fils de Pandion et roi d'Athènes, vainqueur, grâce à son fils Thésée, de ses neveux les Pallantides, qui l'avaient chassé du trône. Il se noya dans la mer qui, de son nom, s'appela Egée, croyant (à tort) que Thésée avait été dévoré par le Minotaure (Myth.).
Q34575	ÉGÉE (mer), ancien nom de l'Archipel.
Q193719	EGER ou EGRA, v. d'Austro-Hongrie (Bohême), sur l'Eger, affl. de l'Elbe ; 23.600 h. Machines, tissus. C'est là que Wallenstein fut assassiné en 1634.
Q167109	EGER [jèr] ou ERLAU [èr-la-ou], v. de Hongrie, ch.-l. du comitat de Hévès, sur l'Eger, affl. de la Theiss ; 25.000 h.
Q582268	ÉGÉRIE, nymphe prophétique dont le roi Numa, suivant la légende romaine, recevait les conseils dans le bois d'Aricie. Son nom a passé dans la langue pour désigner une conseillère secrète, mais écoutée.
Q1441484	EGERTON [jèr-ton'] (Francis), ingénieur anglais ; creusa le canal de Manchester à Liverpool (1729-1803).
Q2578242	EGG (Auguste-Léopold), peintre anglais, né à Londres (1816-1863).
Q2343987	EGGER (Emile), philologue et helléniste français, né à Paris (1813-1885).
Q380652	EGIDIO (Antonini), cardinal et poète italien, né à Viterbe (1480-1532).
Q336937	EGIDIUS, général gallo-romain qui fut lieutenant d'Aétius, puis maître des milices en Gaule pour l'empereur Majorien. Il fut le père de Syagrius ; m. en 464.
Q191082	ÉGINE, île de la Grèce, dans le golfe d'Egine, entre le Péloponèse et l'Attique ; 10.000 h. (Eginètes), dont plus de 5.000 dans la ville principale de l'île, qui porte le même nom. Ce fut, dans l'antiquité, la rivale d'Athènes. On y a découvert, en 1811, un grand nombre de statues antiques, d'un style primitif, connues sous le nom de marbres d'Egine ; elles sont au musée de Munich. L'école d'Egine est la plus ancienne des écoles de sculpture grecque.
Q154526	ÉGINHARD [nar], chroniqueur français, secrétaire de Charlemagne, dont il a écrit la Vie. Louis le Débonnaire lui confia l'éducation de son fils Lothaire (770-840).
Q212091	ÉGISTHE, un des Atrides, fils de Thyeste et de Pélopée. Il tua Agamemnon après avoir séduit sa femme Clytemnestre.
Q274525	ÉGLETONS ch.-l. de c. (Corrèze), arr. de Tulle ; 1.700 h. Ch. de f. Orl.
Q34651	ÉGLISE. Le mot Eglise se dit par excellence de l'Eglise catholique, apostolique et romaine, autrement appelée Eglise latine ou d'Occident, dont le pape est le chef visible. L'Eglise grecque ou d'Orient, qui se prétend orthodoxe, ne reconnaît point la suprématie du pape. L'Eglise protestante ou réformée diffère en plusieurs points des deux premières et comprend elle-même diverses confessions ; elle domine dans le nord de l'Europe et de l'Amérique et ne reconnaît point d'autre autorité que celle de la Bible. Ces trois Eglises sont connues sous le nom général de religions chrétiennes. On entend par Eglise primitive les premiers chrétiens ; par Eglise militante, l'assemblée des fidèles qui sont sur la terre ; par Eglise triomphante, ceux qui jouissent déjà de la gloire céleste ; par Eglise souffrante, les fidèles qui sont dans le purgatoire.
Q170174	ÉGLISE (États de l'), ancienne dénomination de la partie centrale de l'Italie, restée jusqu'en 1871 sous la souveraineté du pape ; capit. Rome.
Q30727132	Eglises protestantes (Histoire des variations des), ouvrage de Bossuet (1690). Bossuet prétend y prouver la fausseté des doctrines protestantes en mettant en lumière la divergence d'opinions de leurs principaux défenseurs. « C'est, dit M. Villemain, le chef-d'œuvre de la méthode parfaite et de la parole précise et simple, dans l'orateur qui a le plus d'enthousiasme et de génie. »
Q107262002	Églises réformées de France (Histoire des), ouvrage du calviniste Th. de Bèze (1580).
Q546203	Églogues. V. Bucoliques.
Q2662239	ÉGLON, roi des Moabites, vers le xive siècle avant J.-C., tué par Ehoud, juge d'Israël (Bible).
Q832225	EGMONT [mon] (Charles d'), duc de Gueldre, né à Gavre. Sa vie ne fut qu'une longue et malheureuse lutte pour la reprise de l'héritage de ses aïeux (1470-1538).
Q435844	EGMONT [mon] (Lamoral, comte d'), célèbre capitaine, né au château de la Hamaide (Hainaut). Il lutta pour Charles-Quint contre la France. Le duc d'Albe le fit décapiter pour s'être soulevé contre l'Inquisition (1522-1568).
Q1298242	Egmont, tragédie en 5 aptes et en prose, de Gœthe (1787). L'auteur a eu pour idéal le xvie siècle, la liberté de conscience, l'exaltation du protestantisme.
Q274555	ÉGUZON, ch.-l. de c. (Indre), arr. de La Châtre, non loin de la Creuse ; 1.800 h. Ch. de f. Orl.
Q79	ÉGYPTE, contrée du N.-E. de l'Afrique, comprenant principalement la vallée du Nil. — I. Géographie. L'Egypte s'étend entre la Méditerranée et la Nubie. Elle s'est annexé au début du xixe siècle les territoires connus sous le nom général de Soudan égyptien. C'est une vallée relativement étroite, que dominent la chaîne arabique et la chaîne libyque, et au milieu de laquelle coule le Nil, qui la féconde par ses inondations régulières, après l'avoir formée par ses alluvions. On y trouve des chacals, des hyènes, des renards, des hippopotames, des crocodiles, ainsi que le buffle, le chameau, le dromadaire, l'âne et le cheval. Les paysans ou fellahs s'y adonnent à l'élève des volailles et surtout à l'agriculture (riz, céréales, canne à sucre, coton). L'industrie textile y est assez développée. L'Egypte a à sa tête un vice-roi ou khédive, vassal de la Turquie, mais soumis à l'influence prépondérante de l'Angleterre. Superficie : 994.000 kilom. carr. Population : 9.800.000 h. (Egyptiens). V. pr. Le Caire, Alexandrie, Damiette, Suez et Port-Saïd. II. Histoire. Les plus anciens occupants connus de l'Egypte appartenaient à une race blanche, probablement berbère, qui se mêla aux tribus noires venues du Sud et aux peuples asiatiques descendus par l'isthme de Suez. Sa civilisation est la plus ancienne des civilisations humaines, et sous ses rois indigènes ou pharaons elle atteignit à un haut degré de perfection dans les arts, les sciences et les lettres, comme le prouvent les nombreux monuments dont les restes la couvrent encore aujourd'hui. Ses dynasties nationales cessèrent de régner en 525 av. J.-C., époque à laquelle elle fut soumise par les Perses. Conquise par les Macédoniens, elle resta aux mains des Ptolémées jusqu'à son occupation par les Romains (30 av. J.-C.). Au moyen âge, elle tomba au pouvoir des Arabes, et au xve siècle, sous le sultan Sélim, elle fut réunie à l'empire ottoman. Le traité de Londres (1841), tout en laissant subsister la suzeraineté nominale de la Porte, rendit la dignité khédiviale indépendante en fait, et héréditaire. Mais les conquêtes de Méhémet-Ali et de ses successeurs dans le Soudan obérèrent à ce point les finances de l'Egypte qu'elle dut accepter le contrôle anglo-français ; mais la révolte du colonel Arabi-Pacha (1881) fournit aux Anglais l'occasion d'occuper la vallée du Nil, sous prétexte de protéger le khédive. Depuis ce temps la Grande-Bretagne exerce une influence absolument prépondérante en Egypte, dont elle a étendu en 1897 les possessions dans le Soudan, jusque dans la région du Bahr-el-Ghazal.
Q404844	ÉGYPTUS [tuss], prince fabuleux d'Egypte, frère de Danaüs. Ses 50 fils épousèrent les 50 filles de leur oncle (les Danaïdes), mais furent, sauf un, tués par leurs femmes la nuit des noces.
Q76549	EHRENBERG [é-rèn-bèrgh] (Chrétien-Godefroi), naturaliste allemand (1795-1876).
Q1777944	EHRENBREITSTEIN, v. de la Prusse occidentale, sur le Rhin, vis-à-vis de Coblentz ; 5.300 h. Citadelle réputée imprenable.
Q1004158	EICHHOFF (Frédéric-Gustave), philologue français, né au Havre (1799-1875).
Q66355	EICHHORN (Godefroy), orientaliste et historien allemand (1752-1827). — Son fils, Charles-Frédéric, historien et jurisconsulte (1781-1854).
Q3121359	EICHTHAL (Gustave d'), publiciste français, né à Nancy (1804-1886).
Q3314	EIDER, fleuve côtier d'Allemagne, tributaire de la mer du Nord, dans le Slesvig-Holstein ; 172 kil. Depuis la construction du canal Empereur-Guillaume, de la Baltique à la mer du Nord, il a perdu de son importance.
Q152356	EIFEL, plateau boisé de la Prusse rhénane, d'une altitude de 500 m.
Q243	EIFFEL [è-fèl] (Tour), tour en fer de 300 mètres de haut, édifiée au Champ-de-Mars, à Paris, en 1889, par l'ingénieur français Eiffel (né à Dijon en 1832).
Q68950	EINSIEDELN [a-in-si-dèln'], v. de Suisse (cant. de Schwyz), dans la vallée de l'Alp ; 8.500 h. Son abbaye, lieu de pèlerinage, renferme une image célèbre de la Vierge (Notre-Dame-des-Ermites).
Q7070	EISENACH [a-i-zèn-nah'], v. du grand-duché de Saxe-Weimar, sur le Nesse ; 31.500 h. Aux environs se trouve le château de la Wartburg, siège, au moyen âge, d'une célèbre cour d'amour, et plus tard berceau de la Réforme, lorsque Luther y eut traduit la Bible en langue allemande vulgaire.
Q484870	EISLEBEN [a-is‘-lè-bèn], v. de la prov. de Saxe (Prusse), sur la Bose ; 24.000 h. Patrie de Luther.
Q319020	ÉLA, roi d'Israël, de 919 à 918 av. J.-C. ; il périt assassiné par Zamri, l'un de ses généraux.
Q128904	ELAM [lam'] ou SUSIANE, ancien Etat voisin de la Chaldée. Capit. Suse. Ses rois conquirent la Chaldée, mais soutinrent ensuite Babylone contre l'Assyrie, qui finit néanmoins par réduire l'Elam. Sous Darius, ce pays forma une satrapie. (Hab. Elamites.)
Q200200	EL-ASSUR, v. ancienne et cap. primitive de l'Assyrie.
Q1235347	ÉLATÉE, v. de l'ancienne Phocide, près du Céphise, où se trouvait un temple d'Esculape. Prise par Philippe de Macédoine en 330 av. J.-C.
Q1644	ELBE, fleuve d'Allemagne. Il prend sa source en Bohême, dans le Riesengebirge, arrose Dresde, Magdebourg, Hambourg, et se jette dans la mer du Nord ; cours 1.100 kil. Navigation très importante.
Q45328	ELBE (île d'), petite île de la Méditerranée, à l'E. de la Corse, où Napoléon fut relégué en 1814 ; 24.000 h. (Elbois). Abondantes mines de fer.
Q723247	ELBÉE (Gigot d'), général vendéen, né à Dresde, fusillé à Noirmoutier (1752-1794).
Q702259	ELBERFELD [èl-bèr-fèld'], v. de la Prusse occidentale, sur la Wupper ; 157.000 h. Industries textiles.
Q733414	ELBEUF [èl-beuf], ch.-l. de c. (Seine-Inférieure), arr. de Rouen, près de la Seine ; 19.000 h. (Elbeuviens ou Elboviens). Ch. de f. O. Manufactures de draps fins.
Q104712	ELBING, v. de Prusse, sur le fleuve côtier Elbing, près de la Baltique ; 52.000 h.
Q484725	ELBOURZ, massif de la Perse septentrionale, au S. de la Caspienne. Son pic principal est le Demavend (5.028 m.).
Q43105	ELBROUZ, sommet du Caucase occidental ; 5.642 m. d'alt. C'est le pic le plus élevé de la chaîne.
Q503169	ELCHINGEN [èl-chin'-ghèn'], village de Souabe, où le maréchal Ney battit les Autrichiens, en 1805.
Q291012	EL-DJEM (anc. Thysdrus), village de Tunisie, entre Sousse et Sfax ; 1.200 hab. Restes d'un amphithéâtre de 150 mètres de long et 125 de large.
Q192550	Eldorado (Le Doré), pays imaginaire, qu'Orellana, lieutenant de Pizarre, prétendait avoir découvert entre l'Amazone et l'Orénoque, et qui, selon lui, regorgeait d'or.
Q214577	ÉLÉATES ou ÉLÉATIQUES, philosophes de l'antiquité, dont les doctrines aboutissaient au scepticisme et dont Zénon d'Elée fut le chef.
Q159443	ÉLÉAZAR, grand prêtre des Hébreux, fils et successeur d'Aaron ; — guerrier juif, lieutenant de David ; — grand prêtre juif, fils d'Onias (iiie s. av. J.-C.) ; — guerrier juif, frère de Judas Macchabée, m. en 163 av. J.-C., dans une bataille contre Antiochus Eupator.
Q22722	Électeurs, princes allemands ayant le privilège d'élire l'empereur. Fixé à 7 par la Bulle d'or (1356), le nombre des électeurs fut porté dans la suite à 9 et à 10. Cette dignité fut abolie en 1806 par Napoléon Ier, mais la Hesse-Cassel garda jusqu'en 1865 le nom d'Electorat. L'électeur de Brandebourg était grand électeur.
Q131651	ÉLECTRE, fille d'Agamemnon et de Clytemnestre ; avec son frère Oreste, elle vengea la mort de son père.
Q733444	Électre, tragédie de Sophocle, sur le même sujet que les Choéphores d'Eschyle ; représentée à Athènes vers l'an 420 av. J.-C.
Q540161	Électre, tragédie d'Euripide ; même sujet que les Choéphores d'Eschyle et l'Electre de Sophocle, mais la conduite de la pièce est moins vraisemblable, et le style moins élevé (413 av. J.-C.).
Q3587590	Électre, tragédie de Crébillon, dont le succès fut vif et durable (1708).
Q272968	ÉLÉE, ancienne v. d'Italie (Lucanie), colonie des Phocéens. Patrie de Zénon et de Parménide. Hab. Eléates ou Eléens.
Q3694159	Élégies de Tibulle, poésies qui brillent par le naturel, la délicatesse et l'harmonie, ainsi que par une tendresse quelque peu efféminée (ier siècle ap. J.-C.).
Q3721321	Élégies, petits poèmes touchants, imités des poètes alexandrins Callimaque et Philétas, par Properce (ier siècle av. J.-C.).
Q3779919	Élégies de Catulle, madrigaux pleins de grâce, d'une versification élégante (ier siècle av. J.-C.).
Q574133	Élégies romaines, par Gœthe, écrites à la suite de son voyage en Italie ; glorification franche de la beauté pure.
Q19167395	Élégies d'A. Chénier (1819). Elles comprennent les Elégies à Camille, dans la manière du xviiie siècle ; les Elégies à Fanny, qui respirent un amour pur et profond ; les Elégies antiques, inspirées de la poésie grecque.
Q107262063	Élégies de Millevoye (1812-1814), d'une inspiration tantôt lyrique et personnelle, tantôt antique, tantôt exotique.
Q156045	ÉLÉONORE D'AUTRICHE, sœur de Charles-Quint, née à Louvain, reine de Portugal, puis reine de France par son mariage avec François Ier, selon les stipulations de la paix de Cambrai (1498-1558).
Q178525	ÉLÉONORE ou ALIÉNOR DE GUYENNE ou D'AQUITAINE, fille de Guillaume X, dernier duc d'Aquitaine. En 1137, elle épousa Louis le Jeune, qui divorça en 1152, puis Henri Plantagenet, qui devint roi d'Angleterre en 1154. Morte à l'abbaye de Fontevrault (1122-1204).
Q976544	Éléphant (ordre de l'), établi par Canut IV, roi de Danemark, à la fin du xiie siècle, réorganisé en 1693 par Christian V, et modifié en 1808. La décoration figure un éléphant portant une tour ; elle est suspendue à un cordon bleu mis en écharpe de droite à gauche.
Q400287	Éléphant blanc (ordre de l'), ordre fondé en 1861 par le roi de Siam. Ruban rouge bordé de vert.
Q284009	ÉLÉPHANTINE, île du Nil et face d'Assouan. Ruines.
Q204905	ÉLEUSIS [ziss], v. ou bourg de l'Attique, au N.-O. d'Athènes, qui avait un temple de Cérès où l'on célébrait des mystères célèbres dans toute la Grèce.
Q101090	ÉLEUTHÈRE (saint), pape de 177 à 192. Fête le 26 mai.
Q5359493	ÉLEUTHÉRIA, nom sous lequel les Grecs honoraient la liberté comme divinité.
Q2653851	Elévation en croix (l'), tableau de Rubens, cathédrale d'Anvers, composition inférieure à la fameuse Descente de croix sous le rapport de l'exécution, mais plus dramatique et plus émouvante (1610). Tableau de Lebrun, au Louvre (1685).
Q107262100	Élévations sur les Mystères, ouvrage composé par Bossuet pour les religieuses de son diocèse vers 1695 et publié en 1727
Q335098	ELGIN (James Bruce, comte), diplomate et antiquaire écossais. Il recueillit en Grèce une précieuse collection d'objets d'art connue sous le nom de marbres d'Elgin (1766-1841).
Q1324185	EL-GOLÉA, oasis du Sahara algérien. Nombreux puits artésiens. Centre militaire.
Q24734144	Éliacin, personnage d'Athalie, tragédie de Racine. C'est le même que Joas, cet enfant royal sauvé par miracle d'une mort cruelle et élevé en secret par le grand-prêtre Joad. Son nom désigne souvent un enfant de naissance illustre et qu'attend une brillante destinée après de grands dangers courus.
Q1063649	ÉLIDE, pays de la Grèce ancienne, sur la côte occidentale du Péloponèse. Dans sa principale ville, Olympie, on célébrait des jeux en l'honneur de Zeus.
Q133507	ÉLIE, prophète juif au temps d'Achab et de Jézabel. Il avait pour disciple Elisée. Les applications que l'on tire des circonstances de la vie d'Elie et d'Elisée se rapportent à la nourriture miraculeuse d'Elie par des corbeaux ; à la résurrection du fils de la veuve de Sarepta ; à l'enlèvement du prophète au ciel dans un char de feu, et surtout au manteau laissé par Elie à son disciple Elisée pour opérer les mêmes prodiges que lui (Bible) Cette dernière application est la plus fréquente et s'entend de celui qui, en politique, dans la littérature, dans la science et dans les arts, semble avoir hérité des goûts, de l'esprit et même du génie d'un homme supérieur.
Q3163782	ÉLIE DE BEAUMONT [mon] (Jean-Baptiste-Jacques), avocat du parlement de Paris, né à Carentan (Manche), défenseur des Calas (1732-1786).
Q55030753	ÉLIE DE BEAUMONT (Louis). V. Beaumont.
Q313782	ÉLIEN [i-in], écrivain grec du iiie siècle, auteur d'Histoires variées d'un grand intérêt, et d'un écrit sur les Particularités des animaux.
Q85853144	ÉLIÉZER [zèr], serviteur d'Abraham. Il fut chargé par ce patriarche d'aller en Mésopotamie choisir une épouse pour son fils Isaac. Il en ramena Rebecca.
Q187818	ELIOT [li-ot'] (Jean), surnommé l'Apôtre des Indiens, missionnaire protestant américain (1603-1690.)
Q131333	ELIOT [li-ot'] (George), pseudonyme de miss Evans, femme de lettres anglaise. On lui doit de nombreux romans : Silas Marner, le Moulin sur la Floss, Romana, etc., peintures profondément observées, mais où l'on sent passer un large souffle d'humanité (1819-1880).
Q235849	ÉLISABETH [bèt'] (sainte), mère de saint Jean-Baptiste, femme du grand prêtre Zaccharie.
Q159862	ÉLISABETH (sainte), fille d'André II, roi de Hongrie, femme de Louis, landgrave de Thuringe (1207-1231). Fête le 19 novembre.
Q6120453	Élisabeth soignant les teigneux (sainte), tableau célèbre de Murillo (Madrid).
Q229214	ÉLISABETH WOODVILLE, femme d'Edouard IV, roi d'Angleterre, et mère des deux malheureux princes, les Enfants d'Edouard, qui furent assassinés par ordre de leur oncle, le duc de Glocester (1437-1492).
Q7207	ÉLISABETH, reine d'Angleterre de 1558 à 1603, fille de Henri VIII et d'Anne de Boleyn, née à Greenwich en 1533. Souveraine énergique et autoritaire, elle soutint avec ardeur le protestantisme, notamment contre Philippe II et fit périr sur l'échafaud Marie Stuart, et le comte Henri IV. Elle protégea les lettres, les arts, le commerce, et encouragea la colonisation. Avec elle finit la branche des Tudors.
Q29857685	Élisabeth (La mort d'), tableau de Paul Delaroche (Louvre), composition habile, savant travail de pinceau.
Q176041	ÉLISABETH DE VALOIS, née à Fontainebleau, épouse de Philippe II, roi d'Espagne, fille de Henri II et de Catherine de Médicis (1545-1568).
Q274732	ÉLISABETH DE FRANCE, fille de Henri IV et de Marie de Médicis, née à Fontainebleau. Elle épousa Philippe IV d'Espagne et fut la mère de Marie-Thérèse, femme de Louis XIV (1602-1644).
Q229867	ÉLISABETH FARNÈSE, reine d'Espagne, épouse de Philippe V. Fière et opiniâtre, elle agita l'Europe et épuisa l'Espagne, pour procurer des trônes à ses enfants (1692-1766).
Q130752	ÉLISABETH PETROVNA, fille de Pierre le Grand, née en 1709, impératrice de Russie de 1741 à 1762.
Q274709	ÉLISABETH (Madame), sœur de Louis XVI, née à Versailles. Elle se signala par son dévouement pour son frère, et mourut sur l'échafaud (1764-1794).
Q57629	ÉLISABETH, de Roumanie. V. Carmen Sylva.
Q206238	ÉLISÉE, prophète juif. V. Elie.
Q332536	Elisir d'Amore (l'), opéra bouffe en deux actes, livret de Felice Romani, musique de Donizetti, partition pleine de mélodies gracieuses (1829).
Q3171917	ELLEVIOU (François), célèbre chanteur français, né à Rennes (1769-1842).
Q672	ELLICE, archipel madréporique d'Océanie, au N. des Fidji, dont il dépend ; à l'Angleterre.
Q3101410	ELLIOT [ot'] (Georges-Auguste), général anglais. Il défendit avec éclat Gibraltar contre les forces combinées de la France et de l'Espagne (1717-1790).
Q715338	ELLIOTT (Ebenézer), le plus remarquable de tous les poètes populaires anglais, surnommé le Forgeron de Sheffield (1781-1849).
Q934747	ELLIS [liss] (John), naturaliste anglais distingué ; m. en 1776.
Q63492373	Elmire, femme d'Orgon, dans le Tartufe de Molière, type de la femme honnête sans pruderie, telle que Molière la rêvait.
Q23073	ELNE, comm. des Pyrénées-Orientales (arr. de Perpignan), non loin du Tech : 3.500 h. (Elnois). Cité antique.
Q8078235	Eloa, poème allégorique d'Alfred de Vigny, une de ses plus touchantes créations (1824).
Q569869	Éloge de la Folie, ouvrage satirique d'Erasme, publié à Bâle (1501).
Q107263592	Éloges des académiciens, recueil de biographies scientifiques, par Fontenelle, un des meilleurs livres en ce genre (1708).
Q107263838	Éloges de d'Alembert, recueil de biographies, où l'élégance du style est mise au service d'une science profonde (xviiie s.).
Q107265073	Éloges de Thomas, panégyriques quelquefois éloquents et majestueux des membres de l'Académie française (1759-1770).
Q107263882	Éloges historiques, par Flourens, biographies des principaux savants modernes et analyse de leurs travaux (1856).
Q360798	ÉLOI (saint), né à Chatelac, près de Limoges, orfèvre et trésorier de Clotaire II et de Dagobert, dont il fut le principal ministre, puis évêque de Noyon (588-659). Fête le 1er décembre.
Q107263895	Éloquence (Dialogue sur l') et particulièrement sur l'éloquence de la chaire, par Fénelon (1718). La Lettre d'Académie complète ces excellents essais de critique.
